,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1979,MI,Macomb County,Data_5_bed,167305.25,154627.33333333334,156646.08333333334,176859.16666666666,202462.5,203158.33333333334,215779.5,233238.25,242337.83333333334,247334.0,263407.0
1980,CA,San Diego County,Data_5_bed,456612.25,437376.0833333333,441474.6666666667,522095.9166666667,581095.9166666666,606731.75,633239.75,663312.5,712173.3333333334,711483.3333333334,744010.25
1981,FL,Escambia County,Data_5_bed,195533.58333333334,186342.91666666666,184457.08333333334,185970.16666666666,193368.83333333334,200155.83333333334,204139.08333333334,213604.41666666666,228286.5,237743.25,246871.75
1982,TX,Collin County,Data_5_bed,282383.8333333333,277677.4166666667,282258.0,298531.9166666667,326467.3333333333,359468.3333333333,391940.4166666667,415788.0,428166.9166666667,426651.9166666667,435727.5
1983,WA,Pierce County,Data_5_bed,312217.4166666667,279275.0,263827.3333333333,288790.1666666667,307911.4166666667,324164.75,352191.6666666667,387136.1666666667,422567.3333333333,442867.5,482144.5833333333
1984,MN,Hennepin County,Data_5_bed,274734.6666666667,258171.83333333334,253033.83333333334,278221.4166666667,296071.4166666667,304805.9166666667,317637.75,332173.1666666667,349476.75,359491.1666666667,379723.1666666667
1985,CA,Ventura County,Data_5_bed,798875.1666666666,771460.25,739438.25,848030.75,909238.25,912296.0,928758.5,963254.6666666666,987719.6666666666,982286.5,1019205.8333333334
1986,CA,Los Angeles County,Data_5_bed,577528.5833333334,549642.3333333334,592460.3333333334,670270.8333333334,774946.4166666666,909113.9166666666,1006412.9166666666,1096418.75,1255230.3333333333,1292562.1666666667,1369317.3333333333
1988,MA,Hampden County,Data_5_bed,236338.08333333334,226448.08333333334,225529.83333333334,231382.33333333334,239855.91666666666,241081.58333333334,239076.66666666666,246898.08333333334,256933.91666666666,270114.0,288616.9166666667
1989,GA,Richmond County,Data_5_bed,168993.66666666666,153140.08333333334,151811.5,165067.41666666666,182652.08333333334,203748.16666666666,209570.41666666666,211764.91666666666,233436.16666666666,233796.66666666666,241697.91666666666
1990,GA,Bulloch County,Data_5_bed,210345.25,195445.5,190212.5,198110.66666666666,210220.08333333334,223977.16666666666,235354.75,245777.58333333334,260617.33333333334,273328.75,270533.5833333333
1991,NY,Kings County,Data_5_bed,592453.25,580052.5,598454.25,648357.1666666666,757155.1666666666,959498.0833333334,1079905.3333333333,1132685.1666666667,1114357.1666666667,1139698.25,1161929.6666666667
1992,AZ,Pima County,Data_5_bed,181495.08333333334,150906.83333333334,163353.83333333334,174222.16666666666,178524.08333333334,176923.08333333334,183089.5,189762.83333333334,203539.75,216349.25,236424.25
1993,IL,Macon County,Data_5_bed,280434.1818181818,282157.5833333333,272767.9166666667,272538.4166666667,286750.9166666667,286450.0833333333,288978.0,285431.8333333333,286838.1666666667,282304.3333333333,277759.8333333333
1994,OR,Multnomah County,Data_5_bed,265096.0833333333,242980.41666666666,242141.25,261601.75,279925.8333333333,305709.0833333333,347077.25,382926.5833333333,400652.75,405451.0833333333,430869.25
1995,CA,San Mateo County,Data_5_bed,1014235.75,1063237.75,1193013.5,1436207.5,1600748.8333333333,1739221.5833333333,1840531.3333333333,1953780.6666666667,2268630.25,2227077.3333333335,2146514.75
1996,TX,Harris County,Data_5_bed,114175.0,109123.83333333333,108711.58333333333,114162.66666666667,123703.33333333333,134146.0,138574.41666666666,146866.58333333334,153054.58333333334,163479.33333333334,172336.5
1997,TX,Denton County,Data_5_bed,472439.3333333333,458641.5833333333,470739.9166666667,498057.75,534287.3333333334,578639.5833333334,612004.5,643825.1666666666,662455.8333333334,668987.3333333334,686897.25
1998,CA,Butte County,Data_5_bed,437380.8333333333,400026.0833333333,390388.8333333333,427316.0833333333,462743.9166666667,459037.0,476116.5833333333,499957.1666666667,547287.5833333334,626423.5833333334,625421.0833333334
1999,IN,Marion County,Data_5_bed,60642.833333333336,52545.0,51094.166666666664,54242.25,65478.666666666664,76823.75,87998.5,110706.33333333333,149414.16666666666,174252.16666666666,185820.0
2000,TX,Guadalupe County,Data_5_bed,281868.75,280652.5833333333,285738.0,289663.9166666667,296915.1666666667,307848.5833333333,310221.3333333333,318409.0,330018.9166666667,335694.8333333333,339844.8333333333
2001,MN,Sherburne County,Data_5_bed,233796.41666666666,228184.83333333334,224324.58333333334,261138.91666666666,286429.25,292788.1666666667,314055.9166666667,333018.4166666667,352886.5833333333,369500.3333333333,387708.0833333333
2002,MD,Prince Georges County,Data_5_bed,214460.16666666666,199016.75,195232.91666666666,211430.66666666666,240190.16666666666,255225.41666666666,273051.25,292963.25,312310.4166666667,323177.5833333333,335336.5
2003,FL,Collier County,Data_5_bed,816827.1666666666,784738.8333333334,800936.75,847056.4166666666,903634.75,967133.75,994180.5,975717.9166666666,957535.8333333334,954104.0,979523.1666666666
2005,CA,Kern County,Data_5_bed,230773.08333333334,211584.75,221562.5,266351.3333333333,297159.5,299370.5,302245.8333333333,310286.0,321902.75,337024.1666666667,354864.8333333333
2006,CA,Los Angeles County,Data_5_bed,593949.6666666666,577666.4166666666,588148.0833333334,672226.9166666666,733318.6666666666,808272.4166666666,883142.9166666666,962173.0833333334,1079753.0833333333,1169153.8333333333,1259984.4166666667
2007,CA,Los Angeles County,Data_5_bed,468126.3333333333,448275.25,459116.4166666667,540385.0,599096.0833333334,649400.9166666666,694408.0833333334,746688.9166666666,817584.25,849381.75,906817.5
2008,VA,Henrico County,Data_5_bed,245603.33333333334,227202.16666666666,220519.16666666666,232516.75,233345.5,237830.66666666666,248202.5,263134.6666666667,281697.4166666667,291722.8333333333,300337.75
2009,HI,Maui County,Data_5_bed,726279.0833333334,717242.1666666666,717706.5,756506.8333333334,798628.25,808788.3333333334,835989.0,871152.6666666666,926665.1666666666,958892.8333333334,984333.0833333334
2010,TX,Tarrant County,Data_5_bed,216945.16666666666,210977.41666666666,213953.83333333334,232015.91666666666,246079.16666666666,264351.6666666667,283270.75,298933.3333333333,311850.0833333333,317176.0833333333,332448.4166666667
2011,TX,Tarrant County,Data_5_bed,111451.33333333333,109128.91666666667,111011.75,118384.5,127319.91666666667,134118.08333333334,150215.25,168546.16666666666,181277.91666666666,193884.58333333334,212606.5
2012,MO,Saint Charles County,Data_5_bed,342862.0833333333,325179.1666666667,326049.8333333333,344160.4166666667,367229.8333333333,368964.75,380604.5833333333,395855.0,404981.6666666667,417930.4166666667,440902.1666666667
2013,FL,Miami-Dade County,Data_5_bed,357401.9166666667,329868.9166666667,329485.0833333333,370732.8333333333,418220.0833333333,449181.4166666667,478590.8333333333,505097.9166666667,528316.0833333334,542448.25,553304.4166666666
2014,PA,Allegheny County,Data_5_bed,213348.25,216508.25,225109.41666666666,238473.08333333334,262432.0,281675.6666666667,304267.4166666667,326879.75,350752.8333333333,371505.0833333333,388277.8333333333
2015,CA,Riverside County,Data_5_bed,246250.5,238233.0,238238.83333333334,275112.75,319253.4166666667,333218.5,355104.1666666667,378225.75,405640.6666666667,418550.25,441887.0833333333
2016,NC,Watauga County,Data_5_bed,404051.0833333333,401037.8333333333,389887.0833333333,397536.1666666667,405926.4166666667,417341.4166666667,430181.0833333333,441599.1666666667,460102.25,471509.6666666667,498402.75
