Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1982,Disaster,5/10/11,MN,Renville County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Roseau County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Scott County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Sibley County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Stevens County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Swift County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Traverse County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Washington County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Wilkin County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Wright County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Yellow Medicine County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1990,Disaster,6/7/11,MN,Anoka County,Storm,Severe Storms and Tornadoes,5/21/11,5/22/11,No,No,Yes,Yes
DR-1990,Disaster,6/7/11,MN,Hennepin County,Storm,Severe Storms and Tornadoes,5/21/11,5/22/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Mille Lacs Indian Reservation,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Chisago County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Isanti County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Kanabec County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Kandiyohi County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Lincoln County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Lyon County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,McLeod County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Meeker County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Mille Lacs County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Pine County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Pipestone County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Redwood County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Renville County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Stearns County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4009,Disaster,7/28/11,MN,Yellow Medicine County,Storm,"Severe Storms, Flooding, and Tornadoes",7/1/11,7/11/11,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Fond du Lac Indian Reservation,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Grand Portage Indian Reservation,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Mille Lacs Indian Reservation,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Aitkin County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Carlton County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Cass County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Cook County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Crow Wing County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Dakota County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Goodhue County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Itasca County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Kandiyohi County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Lake County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Meeker County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Pine County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Rice County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,St. Louis County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4069,Disaster,7/6/12,MN,Sibley County,Storm,Severe Storms and Flooding,6/14/12,6/21/12,No,No,Yes,Yes
DR-4113,Disaster,5/3/13,MN,Cottonwood County,Storm,Severe Winter Storm,4/9/13,4/11/13,No,No,Yes,Yes
DR-4113,Disaster,5/3/13,MN,Jackson County,Storm,Severe Winter Storm,4/9/13,4/11/13,No,No,Yes,Yes
DR-4113,Disaster,5/3/13,MN,Murray County,Storm,Severe Winter Storm,4/9/13,4/11/13,No,No,Yes,Yes
DR-4113,Disaster,5/3/13,MN,Nobles County,Storm,Severe Winter Storm,4/9/13,4/11/13,No,No,Yes,Yes
DR-4113,Disaster,5/3/13,MN,Rock County,Storm,Severe Winter Storm,4/9/13,4/11/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Benton County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Big Stone County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Douglas County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Faribault County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Fillmore County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Freeborn County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Grant County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Hennepin County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,Houston County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
DR-4131,Disaster,7/25/13,MN,McLeod County,Storm,"Severe Storms, Straight-Line Winds, and Flooding",6/20/13,6/26/13,No,No,Yes,Yes
